date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:51:49	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225cc35e4c-247b%22	https://sohamderoy.github.io/robots.txt		(from )
01:51:51	28917/28917	---M-Z	200	added ('OK')	text/html	etag:W/%225ef4eb40-70f5%22	https://sohamderoy.github.io/	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/index.html	(from )
01:51:53	16919/16919	---M-Z	200	added ('OK')	text/css	etag:W/%225ef4eb40-4217%22	https://sohamderoy.github.io/css/main.css	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/css/main.css	(from https://sohamderoy.github.io/)
01:51:55	4191/4191	---M-Z	200	added ('OK')	text/javascript	etag:%224a5f585d9d19129fc57de7f728c37f88%22	https://kit.fontawesome.com/a076d05399.js	C:/Users/Shubham/Desktop/newwebsite/kit.fontawesome.com/a076d05399.js	(from https://sohamderoy.github.io/)
01:51:55	504/504	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ef4eb40-1f8%22	https://sohamderoy.github.io/img/newlogo.svg	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/newlogo.svg	(from https://sohamderoy.github.io/)
01:51:56	55005/55005	---M--	200	added ('OK')	application/pdf	etag:%225ef4eb40-d6dd%22	https://sohamderoy.github.io/docs/Resume.pdf	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/docs/Resume.pdf	(from https://sohamderoy.github.io/)
01:51:56	5753/5753	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-1679%22	https://sohamderoy.github.io/img/tinypng/linkedin.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/linkedin.png	(from https://sohamderoy.github.io/)
01:51:57	8634/8634	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-21ba%22	https://sohamderoy.github.io/img/tinypng/github.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/github.png	(from https://sohamderoy.github.io/)
01:51:57	5500/5500	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-157c%22	https://sohamderoy.github.io/img/tinypng/facebook.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/facebook.png	(from https://sohamderoy.github.io/)
01:51:57	7585/7585	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-1da1%22	https://sohamderoy.github.io/img/tinypng/quora.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/quora.png	(from https://sohamderoy.github.io/)
01:51:58	21931/21931	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-55ab%22	https://sohamderoy.github.io/img/tinypng/email.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/email.png	(from https://sohamderoy.github.io/)
01:51:58	7582/7582	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-1d9e%22	https://sohamderoy.github.io/img/tinypng/skype.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/skype.png	(from https://sohamderoy.github.io/)
01:51:58	10109/10109	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ef4eb40-277d%22	https://sohamderoy.github.io/img/pic1.svg	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/pic1.svg	(from https://sohamderoy.github.io/)
01:51:59	20904/20904	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ef4eb40-51a8%22	https://sohamderoy.github.io/img/pic2.svg	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/pic2.svg	(from https://sohamderoy.github.io/)
01:51:59	34525/34525	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ef4eb40-86dd%22	https://sohamderoy.github.io/img/project.svg	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/project.svg	(from https://sohamderoy.github.io/)
01:51:59	8317/8317	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ef4eb40-207d%22	https://sohamderoy.github.io/img/certificates.svg	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/certificates.svg	(from https://sohamderoy.github.io/)
01:52:00	173068/173068	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-2a40c%22	https://sohamderoy.github.io/img/tinypng/python-2.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/python-2.png	(from https://sohamderoy.github.io/)
01:52:01	187838/187838	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-2ddbe%22	https://sohamderoy.github.io/img/tinypng/html-1.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/html-1.png	(from https://sohamderoy.github.io/)
01:52:02	266257/266257	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-41011%22	https://sohamderoy.github.io/img/tinypng/python-1.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/python-1.png	(from https://sohamderoy.github.io/)
01:52:03	95879/95879	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-17687%22	https://sohamderoy.github.io/img/tinypng/python-3.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/python-3.png	(from https://sohamderoy.github.io/)
01:52:03	189873/189873	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-2e5b1%22	https://sohamderoy.github.io/img/tinypng/css-1.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/css-1.png	(from https://sohamderoy.github.io/)
01:52:03	103489/103489	---M--	200	added ('OK')	image/png	etag:%225ef4eb40-19441%22	https://sohamderoy.github.io/img/tinypng/problem-solving-1.png	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/problem-solving-1.png	(from https://sohamderoy.github.io/)
01:52:03	8034/8034	---M-Z	200	added ('OK')	text/html	etag:W/%225ef4eb40-1f62%22	https://sohamderoy.github.io/certifications	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/certifications.html	(from https://sohamderoy.github.io/)
01:52:04	12249/12249	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225ef4eb40-2fd9%22	https://sohamderoy.github.io/img/blog.svg	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/blog.svg	(from https://sohamderoy.github.io/)
01:52:04	11575/11575	---M-Z	200	added ('OK')	text/html	etag:W/%225ef4eb40-2d37%22	https://sohamderoy.github.io/blog	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/blog.html	(from https://sohamderoy.github.io/)
01:52:05	1069/1069	---M-Z	200	added ('OK')	text/plain	etag:W/%225ef4eb40-42d%22	https://sohamderoy.github.io/LICENSE.txt	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/LICENSE.txt	(from https://sohamderoy.github.io/)
01:52:05	129008/129008	---M--	200	added ('OK')	image/jpeg	etag:%225ef4eb40-1f7f0%22	https://sohamderoy.github.io/img/tinypng/sdr.jpg	C:/Users/Shubham/Desktop/newwebsite/sohamderoy.github.io/img/tinypng/sdr.jpg	(from https://sohamderoy.github.io/)
